DESCRIPTOR_ID,DESCRIPTOR,DESCRIPTOR_CHILD,FORCED_VALUE,FORCED_MISSING,MEDS_PCODE,UNITS,CODE_TABLE_MAX,SCALE,REFERENCE,DATA_WIDTH,FORMAT_TEMPLATE,SECTION3_FXY_SEQ,MEDS_BUFR_CONVERSION_EQ,BUFR_MEDS_CONVERSION_EQ,NETCDF_VARIABLE,NETCDF_BUFR_CONVERSION_EQ
1,315003,001087,,,STATION.CR_NUMBER,numeric,,0,0,23,AR,315003,,,PLATFORM_NUMBER,none
2,315003,001085,,N,PARM.PLATFORM_MANUFACTURE,char,,0,0,160,AR,,,,PLATFORM_TYPE,none
3,315003,001086,,,PARM.001086_SERIAL_NO,char,,0,0,256,AR,,,,FLOAT_SERIAL_NO,none
4,315003,002036,,,PARM_SURF.BUOY,codetable,,0,0,2,AR,,,,,none
5,315003,002148,,,PARM_SURF.SYS$,codetable,,0,0,5,AR,,,,POSITIONING_SYSTEM,none
6,315003,002149,,,PARM_SURF.BTP$,codetable,,0,0,6,AR,,,,,none
7,315003,022055,,,PARM_SURFACE.PFN$,codetable,,0,0,10,AR,,,,CYCLE_NUMBER,none
8,315003,022056,,,PARM_SURF.PDR$,codetable,,0,0,2,AR,,,,DIRECTION,none
9,315003,022067,,,PARM_SURF.PEQ$,codetable,,0,0,10,AR,,,,WMO_INS_TYPE,none
10,315003,004001,,,STATION.OBS_YEAR,numeric,,0,0,12,AR,,,,,none
11,315003,004002,,,STATION.OBS_MONTH,numeric,,0,0,4,AR,,,,,none
12,315003,004003,,,STATION.OBS_DATE,numeric,,0,0,6,AR,,,,,none
13,315003,004004,,,STATION.OBS_HOUR,numeric,,0,0,5,AR,,,,,none
14,315003,004005,,,STATION.OBS_MIN,numeric,,0,0,6,AR,,,,,none
15,315003,005001,,,STATION.LATITUDE,degree,,5,-9000000,25,AR,,,,LATITUDE,none
16,315003,006001,,,STATION.LONGITUDE,degree,,5,-18000000,26,AR,,,,LONGITUDE,none
17,315003,008080,,,STATION.008080_POSITION,codetable,,0,0,6,AR,,,,,none
18,315003,033050,,,STATION.POSITION_QC,numeric,,0,0,4,AR,,,,POSITION_QC,none
19,315003,109000,,,,numeric,,0,0,0,AR,,,,,none
20,315003,031002,,,REPL.TEMP_COUNT,numeric,,0,0,16,AR,,,,N_LEVELS,none
